HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
7656,113.8728022,22.55872702,114.0156186,22.64755367,0,0,0,0,1,0,0
226,114.0173094,22.62430723,114.2609681,22.59084355,0,0,0,0,0,4,0
3540,113.9213038,22.5238211,114.0039703,22.63806732,0,0,0,0,0,0,0
1684,113.9243591,22.73817724,114.2469667,22.71532731,0,0,0,0,0,5,0
955,113.8236042,22.71840044,113.94828198766874,22.550955227557317,0,0,0,0,0,1,0
7653,113.8772696,22.56713794,114.0380729,22.65203364,0,0,0,0,1,8,0
3386,114.1782169,22.65210551,114.1315695,22.60643929,0,0,0,0,0,0,0
2133,113.8236042,22.71840044,113.8566761,22.60489379,0,0,0,0,0,3,0
425,113.8651559,22.57054362,114.0156186,22.64755367,0,0,0,0,0,0,0
3451,113.8593418,22.62832393,114.0143073,22.64591725,0,0,0,0,0,1,0
1801,113.8361658,22.64005263,114.0636539,22.57488868,0,0,0,0,0,4,0
1073,113.9094662,22.56709149,113.9078936,22.51408319,0,0,0,0,0,0,0
3520,113.8998904,22.580372,113.8614431,22.58873239,0,0,0,0,0,0,0
959,113.9299459,22.74871131,114.136865,22.62534243,0,0,0,0,0,3,0
7308,113.8846552,22.58885046,114.0423111,22.69632602,0,0,0,0,0,0,0
3515,113.9371832,22.50632542,114.2466808,22.72743507,0,0,0,0,0,0,0
310,114.054181,22.59691261,114.0306166,22.56827822,0,0,0,0,0,5,0
1928,113.8865032,22.57412312,113.9194252,22.55198723,0,0,0,0,0,5,0
1823,113.9072826,22.56269528,114.2625363,22.74366001,0,0,0,0,1,0,0
1962,113.8845256,22.55733132,114.1457116,22.55421814,0,0,0,0,0,5,0
6683,114.1332851,22.58555106,114.2001423,22.65019022,0,0,0,0,2,1,0
2800,113.8728022,22.55872702,113.8225198,22.68462413,0,0,0,0,0,8,0
7753,114.0173094,22.62430723,114.1314078,22.61571589,0,0,0,0,1,0,0
4249,113.935579,22.53639634,114.136865,22.62534243,0,0,0,0,1,7,0
3516,114.00477368891337,22.5531279833365,114.1299479,22.57726751,0,0,0,0,0,0,0
1206,114.1182255,22.67187027,114.1281667,22.69269459,0,0,0,0,1,0,0
7624,113.8678879,22.5713629,114.144408,22.61981457,0,0,0,0,0,0,0
6830,113.8865032,22.57412312,113.8295056,22.71524041,0,0,0,0,0,0,0
248,114.0060361,22.64477552,114.1087436,22.54383051,0,0,0,0,1,1,0
398,113.8886117,22.77684509,114.1215163,22.57176536,0,0,0,0,1,4,0
1636,114.0239956,22.64331109,114.2579837,22.68510514,0,0,0,0,1,1,0
3510,113.9338951,22.50164756,113.8614431,22.58873239,0,0,0,0,0,1,0
3549,114.3265685,22.67727231,114.2507345,22.72444121,0,0,0,0,0,0,0
702,113.7721529,22.6885906,113.8963327,22.58379126,0,0,0,0,1,1,0
2259,113.8746316,22.55197004,114.135555,22.60315924,0,0,0,0,0,2,0
2465,113.8591147,22.57989424,114.1457116,22.55421814,0,0,0,0,0,5,0
493,113.8885816,22.57839234,114.2247438,22.55792041,0,0,0,0,0,2,0
706,113.8979427,22.56079451,113.8797414,22.57248396,0,0,0,0,0,0,0
615,114.0767642,22.54745648,114.00694646637001,22.553127986504084,0,0,0,0,0,1,0
7583,113.8865032,22.57412312,114.2485412,22.73406649,0,0,0,0,2,0,0
1769,113.8493022,22.59437716,114.08516576527818,22.544436948647373,0,0,0,0,0,5,0
7020,113.8865032,22.57412312,113.8566761,22.60489379,0,0,0,0,0,0,0
2012,113.9243591,22.73817724,114.2367467,22.72324864,0,0,0,0,2,4,0
1388,113.9192187,22.51529625,114.1376447,22.57401299,0,0,0,0,0,0,0
