HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
396,113.8143349,22.69694457,114.0755723,22.65681014,0,0,0,0,0,5,0
991,113.8591147,22.57989424,114.2625363,22.74366001,0,0,0,0,0,2,0
1693,114.025815,22.64293203,114.0755723,22.65681014,0,0,0,0,1,0,0
1015,113.8922297,22.54960966,114.2507405,22.71255687,0,0,0,0,0,5,0
3414,113.8614431,22.58873239,113.8593418,22.62832393,0,0,0,0,0,4,0
1082,113.8289193,22.71956443,114.1349006,22.56090918,0,0,0,0,0,1,0
512,113.8443979,22.60607457,114.1017011,22.63294473,0,0,0,0,0,2,0
3472,113.9137127,22.4855817,113.8614431,22.58873239,0,0,0,0,0,4,0
279,114.0135686,22.65590543,114.2232146,22.68026417,0,0,0,0,0,3,0
3560,113.8771498,22.58317542,113.8517805,22.77494241,0,0,0,0,0,2,0
891,113.8591147,22.57989424,113.9653754,22.56215852,0,0,0,0,0,5,0
184,114.1277981,22.58868764,114.0899097,22.55059307,0,0,0,0,0,2,0
3518,114.0459589,22.56174254,114.0224392,22.63876677,0,0,0,0,0,5,0
339,114.025783,22.64965565,114.2084736,22.70857754,0,0,0,0,0,2,0
3466,114.1234008,22.62789153,114.1017011,22.63294473,0,0,0,0,0,0,0
990,113.8289193,22.71956443,114.1245947,22.56014845,0,0,0,0,0,5,0
942,113.9485403,22.54665421,114.0704913,22.54506796,0,0,0,0,0,3,0
3517,114.0524428,22.53036901,114.2288876,22.70270774,0,0,0,0,1,4,0
1625,114.2209095,22.72832054,114.2021686,22.69935561,0,0,0,0,0,0,0
3288,113.8736143,22.57363596,113.8803084,22.58326725,0,0,0,0,0,3,0
648,113.9080582,22.5696617,114.1320955,22.57547664,0,0,0,0,0,3,0
3316,114.0518669,22.60421052,114.1072085,22.62652505,0,0,0,0,0,0,0
1386,113.9337326,22.76402951,114.1017011,22.63294473,0,0,0,0,1,3,0
1006,114.0884103,22.55690504,114.0844851,22.54205069,0,0,0,0,0,3,0
